schön	beautiful
schule	school
entschuldigung	excuse
wort	word
typ	type
schlafen	to sleep
euer	your
captain	team captain
gesicht	facies
falls	lest [formal]
neuen	new member
unten	down
teil	portion
mensch	human
kleiner	kiddie
stellen	position of employment
oft	often
sorge	worry
gedacht	to reckon [Br.] (think or suppose)
trinken	drinking
einige	a few
dies	this
ding	contraption
kriegen	tag (game)
blut	blood
ehrlich	sincere
eltern	parent
herz	heart
alt	alto
wiedersehen	reunion
frei	ad lib
wen	who
irgendwie	somehow
reicht	to last
fest	celebration
besten	best
waffe	arms
kaum	hardly
irgendwas	anything
klingt	to clink
platz	room
rede	speech
papa	daddy
falsch	recreant
sondern	but
nummer	issue
jungen	boy
wohin	where
setzen	bet (gambling)
zuerst	at first
wahrscheinlich	probable
jede	every
arsch	ass [Am.]
telefon	customer hotline
willkommen	welcome
plan	concept
hierher	hither [dated]
fehler	mistake
dollar	dollar (currency)
zehn	(number) ten
pass	pass (for using a service)
stunde	lesson
gegeben	to slip into the role of sb.
menge	batch
langsam	steady
bereits	as early as
sechs	(number) six
lieben	to love
meines	mine
wochen	week
ruf	reputation
schaffen	tub
leider	worse luck [Br.]
trotzdem	anyway
doktor	medical doctor /M.D./
tja	oh well
voll	at full blast
film	picture
geworden	to develop (from sth.)
direkt	hand
tat	act
schiff	ship
wem	who
danach	after it
funktioniert	to go {went
lernen	learning
deswegen	reason
nennen	to clepe
hm	hem
feuer	mettle
laufen	jogging
alleine	alone
stelle	position of employment
kumpel	mine worker
verlieren	(single) game
probleme	problem
kaffee	coffee
luft	elbow room
ziehen	to gain traction [fig.]
verschwinden	dying-out
suche	search
buch	book
krank	messed-up
jedes	anything
wert	worth
arzt	medical doctor /M.D./
froh	joyous
versuche	experiment
rufen	to call in ⇆ sb.
heiraten	marrying
super	great
gutes	good
onkel	uncle
total	flat out
gebracht	to televise sth.
party	bash [coll.]
spielt	to perform sth.
wahl	ballot
vertrauen	faith (in)
damals	occasion
tagen	to be in session
leicht	unexacting
nachdem	after
gegangen	to join sb.
kaufen	buying
geschafft	beat [slang]
typen	type
interessiert	bright-eyed
halte	stopping point
irgendwo	somewhere
genauso	just the same
genommen	to take sth.
zukunft	destiny
weniger	little
cool	fierce [coll.] 
licht	lighting
getroffen	target
himmel	(cloth) canopy
nachricht	news
passt	to be suitable (for sb.)
laut	ejaculation [humor.] [dated]
angerufen	to appeal (to)
sitzen	jug
erde	Earth
rest	tail
passieren	to happen (unexpectedly)
eher	more likely
gefragt	sought
opfer	dweeb [Am.] [coll.]
solche	such
mist	refuse
schreiben	letter
gesprochen	conversational
versuch	experiment
vorstellen	showcasing
wovon	whereof
sobald	as soon as
herren	taskmaster
sex	sexual intercourse
waffen	armament
weh	ache
krankenhaus	hospital
millionen	million /m/
klasse	social class
hart	punishing
worden	will
sinn	meaning
verletzt	to break sth. 
erfahren	experience
tragen	stretcher
wenigstens	at least
vorsichtig	discreet
stolz	ego
stark	pronouncedly
besonders	individual
schicken	to dispatch sb. (to a place)
person	character
solange	so long as
anrufen	to appeal (to)
stand	profession
erwartet	to wait for sth.
boden	soil (ground layer of earth)
boss	top dog [coll.]
stimme	sheet music
still	hushed
sicherheit	certitude
ma	Wow
mund	mouth
lachen	sounds of laughter
zeug	(a person’s) equipment
lustig	hilarious
umbringen	to liquidate sb.
sollst	shall
schlimm	bad
unglaublich	staggering
laden	chest
gestorben	dead
schauen	fair
meinung	view (about/of/on sth.)
lesen	picking
geschehen	events
idiot	dumbass
verzeihung	forgiveness
fliegen	mayfly
team	the fold
vorher	before
schluss	closure (of a letter/debate)
schneller	loom driver
verdient	deserved
umgebracht	to liquidate sb.
perfekt	present perfect tense
versprochen	to expect sth. of sth.
hinten	aft
monate	month /mo./ /mth/
acht	eight
fallen	drop
rufe	telephone call
a	A
mord	murder
heraus	out
liebling	darling
folgen	implication (for sb./sth.)
bitten	request
behalten	retention of sb./sth. (continued control
verdammte	to condemn
tisch	table
michael	Mikhail (male given name)
jemals	ever
liegen	couch
verkaufen	selling
anfangen	to tee off [fig.]
machte	to do sth.
hotel	hotel
hilft	to second
meister	professional (in an activity)
kampf	fight
antwort	(written) answer
geschickt	agile
obwohl	although
sieben	(number) seven
komisch	droll
gewinnen	to mine
ihres	hers
bezahlt	to fund
unterwegs	way of transportation
dumm	annoying
bild	picture
george	Georgian
neu	recent
bezahlen	payment (of sth.) (process)
dagegen	contrast
seien	be (wishing mood)
leiche	dead body
auge	eye
arschloch	shithead
verheiratet	to couple
gerettet	to save sb./sth. from harm
agent	agent
traum	dream
entscheidung	decision (on sth.)
schlimmer	worse
regeln	rule
fenster	(fixed inserted) box
fangen	tag (game)
fort	fort
gefahr	threat
absolut	single
augenblick	moment
bescheid	administrative notice
rum	rum
gedanken	thought
ziel	bourn
benutzt	to use sb.
bewegung	physical exercise
worte	word
welcher	who
zahlen	number
anfang	commencement
legen	to situate
anwalt	procurator
offen	open-minded
arme	arm
bier	beer
partner	partner
klappe	clapperboard
herum	around
ehe	marriage
rolle	role
gleiche	like
monat	month /mo./ /mth/
hochzeit	marriage ceremony
paris	Paris (capital of France)
wach	awake
wozu	reason
arm	arm
geschrieben	to write in (to an organization) with sth.
chef	chief
benutzen	to use sth.
informationen	piece of information
erledigt	to finish sth.
hoffentlich	I hope so
tanzen	dancing
ansehen	good reputation
zuhause	home
wunderbar	prodigious
reise	trip
gewonnen	to mine
dame	lady
irgendwann	sometime
steckt	to put {put
jedenfalls	anyhow
schreit	to bawl
nennt	to term sth.
raum	room
foto	picture
kalt	cold
irgendetwas	anything
weile	while
bisher	until
minute	minute of arc
unbedingt	conditionally
zug	strain
sekunden	second
beweise	proof (of sth.)
aller	all
seele	barrel bore
dauert	to last
brief	letter
gelernt	skilled
sucht	addiction (to sth.)
bekannt	known
weitere	further details {pl}
unfall	accident
